fishID,time,ageCap,radCap,rad1,rad2,rad3,rad4,rad5,rad6,rad7
90,1,4,4.3868,1.9986,3.1746,3.7302,4.3868,,,
90,2,4,4.5599,2.0779,3.1457,3.9249,4.5599,,,
91,1,4,4.0692,1.5007,2.2799,3.3405,4.0692,,,
91,2,4,3.5858,1.3564,2.049,3.0086,3.5858,,,
92,1,4,4.4228,1.8182,2.5902,3.7879,4.4228,,,
92,2,4,4.2136,1.8254,2.6552,3.5715,4.2136,,,
93,1,5,5.2165,2.5036,3.153,3.6436,4.4661,5.2165,,
93,2,5,5.0292,1.0896,2.3306,3.0954,3.8891,5.0292,,
94,1,4,3.9827,2.0707,2.7201,3.3983,3.9827,,,
94,2,4,3.9755,2.1284,2.7056,3.4271,3.9755,,,
95,1,3,2.951,1.2771,2.1141,2.951,,,,
95,2,3,2.915,1.2771,2.1069,2.915,,,,
96,1,4,4.2352,2.1573,3.2251,3.6075,4.2352,,,
96,2,4,3.6582,2.0202,2.8211,3.1459,3.6582,,,
97,1,5,4.3362,0.7431,1.2409,2.4891,3.492,4.3362,,
97,2,5,4.1054,0.6926,1.2409,2.3448,3.0086,4.1054,,
98,1,5,5.5702,2.0491,2.8788,3.99,4.8198,5.5702,,
98,2,5,5.4185,2.3593,3.2107,3.8023,4.6537,5.4185,,
99,1,5,5.2383,1.8038,2.7562,3.4201,4.2931,5.2383,,
99,2,5,5.0721,1.7244,2.7345,3.2973,4.1847,5.0721,,
100,1,4,3.4128,0.5556,1.4647,2.2151,3.4128,,,
100,2,4,3.0231,0.5195,1.2771,2.114,3.0231,,,
101,1,4,3.0234,0.8081,1.2124,1.8257,3.0234,,,
101,2,4,2.8499,0.8153,1.241,1.7821,2.8499,,,
102,1,4,4.4806,0.7792,2.2439,3.7519,4.4806,,,
102,2,4,4.4013,0.8081,2.3233,3.5427,4.4013,,,
103,1,4,4.399,0.5221,1.5221,3.8585,4.399,,,
103,2,4,4.8409,0.354,1.6904,4.2391,4.8409,,,
104,1,5,4.7261,0.7504,1.7967,3.0883,3.9469,4.7261,,
104,2,5,4.495,0.6638,1.6667,2.8716,3.6292,4.495,,
105,1,5,3.5499,0.5628,1.1256,1.7173,2.8717,3.5499,,
105,2,5,3.9252,0.5195,1.2628,2.5976,3.1604,3.9252,,
106,1,4,2.468,0.3463,0.9672,1.7898,2.468,,,
106,2,4,2.8507,0.4185,1.5585,2.0136,2.8507,,,
108,1,5,3.9468,0.8298,1.5874,2.5831,3.4561,3.9468,,
108,2,5,3.4777,0.7648,1.6739,2.2222,2.8283,3.4777,,
109,1,5,5.3969,0.5628,1.6883,2.8211,3.8673,5.3969,,
109,2,5,5.3248,0.5484,1.7461,2.8861,3.9539,5.3248,,
110,1,5,3.6874,0.8803,2.0204,2.706,3.2545,3.6874,,
110,2,5,3.658,0.7359,2.013,2.5613,3.1962,3.658,,
111,1,5,4.7404,0.7215,1.9408,3.1746,4.0189,4.7404,,
112,1,4,3.2108,0.6927,1.508,2.3666,3.2108,,,
112,2,4,3.254,0.7287,1.4935,2.4026,3.254,,,
113,1,4,3.1772,0.7523,1.7169,2.7346,3.1772,,,
113,2,4,3.1417,0.7611,1.6992,2.7346,3.1417,,,
114,1,4,3.3365,0.8585,2.0178,2.9913,3.3365,,,
114,2,4,3.6198,0.9913,2.186,3.2126,3.6198,,,
115,1,4,2.9824,0.5841,1.6638,2.5753,2.9824,,,
115,2,4,3,0.6107,1.6195,2.531,3,,,
116,1,4,2.6639,0.646,1.5664,2.3098,2.6639,,,
116,2,4,2.7789,0.6991,1.5664,2.4602,2.7789,,,
117,1,4,3.0799,0.8054,1.8496,2.7523,3.0799,,,
117,2,4,3.0447,0.7967,1.8676,2.7438,3.0447,,,
136,1,5,5.655,0.531,1.9735,3.7788,5.1417,5.655,,
137,1,5,4.2745,0.3628,1.1682,2.2921,3.5045,4.2745,,
137,2,5,4.3542,0.2833,1.2037,2.3541,3.54,4.3542,,
159,1,6,3.8938,0.3451,0.9026,1.8761,2.9203,3.7522,3.8938,
173,1,4,2.6815,0.4957,1.5399,2.3187,2.6815,,,
173,2,4,2.5489,0.4249,1.3718,2.2037,2.5489,,,
174,1,5,2.7789,0.6107,1.3718,2.2126,2.6285,2.7789,,
174,2,5,3.0005,0.6903,1.4693,2.257,2.7968,3.0005,,
175,1,5,3.3897,0.5487,1.6726,2.7522,3.1771,3.3897,,
175,2,5,3.2216,0.6284,1.6815,2.6728,3.0092,3.2216,,
198,1,4,3.3838,0.6061,1.4358,2.7489,3.3838,,,
198,2,4,3.3478,0.5411,1.2482,2.684,3.3478,,,
200,1,7,4.1152,0.5133,1,1.8496,2.8054,3.4338,3.8674,4.1152
200,2,7,4.3189,0.531,1.1328,1.8939,2.8851,3.5666,3.9826,4.3189
202,1,4,2.5752,0.7611,1.6726,2.4071,2.5752,,,
202,2,4,2.7082,0.7168,1.5753,2.4249,2.7082,,,
204,1,5,3.2746,0.4691,1.2656,2.1771,2.9913,3.2746,,
